TICKER	CCAT
0BA Comdty	502030
0EA Comdty	502030
0GA Comdty	101010
0NA Comdty	502035
0QA Comdty	502035
0RA Comdty	502020
0TA Comdty	502032
0UA Comdty	502020
0VA Comdty	502030
1AA Comdty	202510
1AA Curncy	501010
1BA Curncy	501010
1CA Comdty	502010
1CA Curncy	501010
1DA Comdty	202610
1EA Index	503080
1FA Comdty	502030
1FA Curncy	501010
1FA Index	503080
1GA Curncy	501010
1HA Curncy	501010
1IA Comdty	502010
1IA Curncy	501010
1JA Comdty	502010
1JA Curncy	501010
1KA Comdty	502030
1LA Curncy	501010
1MA Comdty	502010
1MA Curncy	501010
1OA Comdty	502020
1OA Index	503080
1PA Comdty	502030
1RA Curncy	501010
1SA Comdty	202010
1SA Curncy	501010
1TA Curncy	501010
1TA Index	503030
1UA Index	503030
1VA Curncy	501010
1WA Comdty	502010
1XA Comdty	201010
1XA Curncy	501010
1ZA Comdty	201030
1ZA Curncy	501010
2AA Curncy	501010
2BA Comdty	502030
2BA Curncy	501010
2CA Comdty	502010
2CA Curncy	501010
2EA Comdty	502030
2EA Index	503080
2FA Curncy	501010
2FA Index	503080
2GA Comdty	101010
2GA Curncy	501010
2HA Curncy	501010
2IA Comdty	502010
2IA Curncy	501010
2JA Comdty	502010
2JA Curncy	501010
2LA Curncy	501010
2MA Comdty	502010
2MA Curncy	501010
2NA Comdty	502035
2OA Comdty	502020
2OA Index	503080
2QA Comdty	502035
2RA Comdty	502030
2RA Curncy	501010
2SA Curncy	501010
2TA Curncy	501010
2TA Index	503030
2UA Curncy	501010
2UA Index	503030
2VA Comdty	502030
2VA Curncy	501010
2WA Comdty	502010
2XA Curncy	501010
2ZA Curncy	501010
3AA Curncy	501010
3BA Curncy	501010
3CA Comdty	502010
3CA Curncy	501010
3EA Comdty	502030
3EA Index	503080
3FA Curncy	501010
3FA Index	503080
3GA Comdty	101010
3GA Curncy	501010
3HA Curncy	501010
3IA Comdty	502010
3IA Curncy	501010
3JA Comdty	502010
